,County,COUNTYCODE,County_area(km2),PPL_usage(m/m2/year),Industry_usage(m/m2/year),shui_li_hui,shui_li_hui_control_area,Agri_usage(m/m2/year),Total
0,臺北市,63000,271.7997,1.80358751315767,5.13967995660429,瑠公,238,3.41309,10.35635746976196
1,新北市,65000,2052.5667,0.291533647603267,5.66346605590792,七星,660,5.5495,11.504499703511186
2,基隆市,10017,132.7589,0.725903875371067,4.992691745518889,北基,"5,299",4.13015,9.848745620889957
3,桃園市,68000,1220.954,0.216727515532936,6.269943314062621,宜蘭,"12,807",6.2241599999999995,12.710830829595556
4,新竹市,10018,104.1526,0.43052315544691205,6.027654718754199,桃園,"8,420",4.8093699999999995,11.26754787420111
5,新竹縣,10004,1427.5369,0.0441693906476253,5.974213181708981,石門,"5,320",3.6332199999999997,9.651602572356605
6,宜蘭縣,10002,2143.6251,0.0263719299610739,7.09363481402701,新竹,"10,893",3.17995,10.299956743988083
7,苗栗縣,10005,1820.3149,0.0370783560580645,6.573588729320519,苗栗,"7,017",4.698180000000001,11.308847085378584
8,臺中市,66000,2214.8968,0.189826363919077,11.128139552885498,台中,"33,354",4.41291,15.730875916804575
9,南投縣,10008,4106.436,0.0144636677644556,7.143286452698639,南投,"12,412",4.61912,11.776870120463094
10,彰化縣,10007,1074.396,0.127284091712925,6.95445851709202,彰化,"45,731",3.0609900000000003,10.142732608804945
11,雲林縣,10009,1290.8326,0.0739302392889674,9.0606951481412,雲林,"59,766",2.31834,11.452965387430169
12,嘉義市,10020,60.0256,0.517320809787824,4.36100353594881,嘉南,"57,909",0.93766,5.815984345736634
13,嘉義縣,10010,1903.6367,0.0305578685260691,7.30192017825546,嘉南,"57,909",0.93766,8.270138046781529
14,臺南市,67000,2191.6531,0.10196679711766399,11.5435030790085,嘉南,"57,909",0.93766,12.583129876126163
15,高雄市,64000,2951.8524,0.12342126184900001,11.317607217557,高雄,"14,763",2.7944299999999997,14.235458479406
16,屏東縣,10013,2775.6003,0.0310986560276708,6.30729417956928,屏東,"22,743",3.6777599999999997,10.01615283559695
17,花蓮縣,10015,1220.954,0.0399395874046033,9.88571045156673,台東,"12,299",8.07118,17.996830038971332
18,臺東縣,10014,3515.2526,0.00961721243019634,13.708260105448199,花蓮,"12,498",8.27871,21.996587317878394
